img_id,blip2,llava,blip2_chars,llava_chars
30,The fire in the picture is burning in the wildland forest,"The image depicts a forest fire with trees burning and smoke filling the air. The fire is spreading rapidly, engulfing the trees and creating a hazardous situation. There are several trees in the scene, some of which are on fire, while others are not.

In the image, there are two people visible, one located in the middle of the scene and the other towards the right side. Both individuals appear to be observing the fire, possibly assessing the situation or waiting for assistance.

The fire appear",386,500
31,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a group of firefighters working together to combat a large fire. There are three firefighters in the scene, with one positioned on the left side, another in the middle, and the third on the right side. They are all wearing firefighting gear and are actively engaged in the firefighting efforts.

The fire is spreading rapidly, with flames visible in various parts of the image. The firefighters are using a hose to try and control the fire, and they are also using a ladder to reach",386,500
32,A fire burning in a forested area near a large body of water,"The image depicts a forest fire with flames reaching up to the sky. The fire is burning through the trees, creating a dramatic scene. There are several trees in the foreground, with some of them being closer to the viewer and others further away. The fire appears to be spreading rapidly, engulfing the trees in its path. The overall atmosphere of the image is intense and captivating.",386,385
33,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a forest fire with flames and smoke rising high into the sky. The fire is spreading rapidly, engulfing the surrounding trees. There are several trees in the foreground, with some of them being closer to the viewer and others further away. The fire appears to be spreading towards the trees, creating a dramatic scene.",386,335
34,A firefighter works to save a home from the flames in a rural area near the town of albury-wodonga,"The image depicts a firefighter in a yellow fire suit standing in front of a large fire, which is spreading rapidly. The fire is located in the middle of the scene, with smoke billowing upwards. The firefighter is holding a hose, ready to extinguish the fire.

In the background, there are two people, one closer to the left side of the image and the other further to the right. Both individuals appear to be observing the fire situation.

There are two vehicles in the scene, one located on the left",386,500
35,"this image shows a fire burning near a small house on a dirt road near the edge of a rural area, with a few trees visible in the distance","The image depicts a large fire burning in the mountains, with flames reaching high into the sky. The fire is spreading rapidly, engulfing the surrounding area. The scene is filled with smoke, creating a dense and hazardous atmosphere.

There are several people in the image, with some standing close to the fire and others further away. They appear to be observing the fire or possibly trying to extinguish it.

The fire has caused significant damage to the surrounding environment, including the des",386,500
36,bushfires in the australian outback,"The image depicts a forest fire with smoke and flames filling the sky. The fire is spreading rapidly, engulfing the trees and creating a dense, dark smoke. The scene is filled with the sound of crackling flames and the smell of burning wood.

There are several people in the scene, some of them are standing near the fire, while others are further away. They are all wearing dark clothing, likely to protect them from the intense heat and smoke.

The forest is filled with trees, some of which are al",386,500
37,the bushfire is burning in a forest in australia.,"The image depicts a forest fire scene with several trees on fire. The fire is spreading rapidly, and the smoke is billowing upwards. The fire is located in the middle of the scene, with the trees surrounding it.

There are two people in the image, one person is standing closer to the left side of the scene, and the other person is standing further to the right. Both individuals appear to be observing the fire.

In the background, there is a car parked near the left side of the scene. The car is",386,499
38,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a scene of a forest fire, with flames and smoke filling the sky. The fire is spreading rapidly, engulfing the surrounding area. There are several people in the scene, with some standing closer to the fire and others further away. They appear to be observing the fire or possibly trying to extinguish it.

In the foreground, there is a person wearing a red shirt, while another person is wearing a blue shirt. A car can be seen in the background, parked near the edge of the scene. T",386,500
39,a fire destroyed a fire truck and several homes,"The image depicts a firefighter standing in a field, holding a fire hose and preparing to put out a fire. The fire is spreading rapidly, engulfing the surrounding area. The firefighter is wearing a yellow jacket, which makes him easily visible against the backdrop of the fire.

In the background, there are several trees, some of which are partially obscured by the fire. The fire appears to be spreading towards the trees, creating a sense of urgency for the firefighter. The overall scene is a dra",386,500
40,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a forest fire with trees and bushes burning. The fire is spreading rapidly, engulfing the surrounding area. The scene is filled with smoke, creating a hazy atmosphere.

There are several people in the image, some of them are standing close to the fire, while others are further away. They appear to be observing the fire or possibly trying to extinguish it.

The fire has caused significant damage to the surrounding environment, including the destruction of trees and bushes. The f",386,500
42,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a scene of a forest fire, with flames and smoke filling the sky. The fire is spreading rapidly, engulfing the surrounding area. There are several people in the scene, with some standing closer to the fire and others further away. They appear to be observing the fire or possibly trying to extinguish it.

In the foreground, there is a person wearing a red shirt, while another person is wearing a blue shirt. A car can be seen in the background, parked near the edge of the scene. T",386,500
44,"a bushfire burns on a hot, dry day","The image depicts a firefighter standing in a field, wearing a yellow fire suit and a helmet. The firefighter is looking at a fire that is burning in the background, with flames reaching high into the sky. The fire appears to be quite large, covering a significant portion of the sky.

In the field, there are a few trees scattered around, with one tree located near the left side of the image and another tree further to the right. The firefighter is the main focus of the scene, standing in the for",386,500
45,a fire burning in a field near the village of the falls picture getty images,"The image depicts a firefighter in a yellow fire suit standing in front of a burning forest. The fire is spreading rapidly, and the firefighter is trying to control the situation. The fire is located in the center of the image, with the firefighter standing closer to the left side.

There are no other people visible in the scene. The firefighter is the only person present. The fire is the main hazard in the image, with smoke billowing upwards from the burning trees. The firefighter is equipped w",386,500
46,"A bushfire that has burned through a large area of woodland, grassland, and shrubs on a hot day","The image depicts a firefighter standing in a field, holding a fire hose and preparing to put out a fire. The fire is spreading rapidly, engulfing the surrounding area. The firefighter is wearing a yellow jacket, which makes him easily visible against the backdrop of the fire.

In the background, there are several trees, some of which are partially obscured by the fire. The fire appears to be spreading towards the trees, creating a sense of urgency for the firefighter. The overall scene is a dra",386,500
47,a wildfire burns on a hillside near a rural property,"The image depicts a group of firefighters working together to extinguish a large fire in a wooded area. There are five firefighters visible in the scene, with some standing closer to the fire and others further away. They are wearing yellow jackets, which makes them easily identifiable.

The fire is burning brightly, with flames reaching high into the sky. The firefighters are using a hose to spray water on the fire, trying to control the blaze. The scene is set in a lush green forest, with tree",386,500
48,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a residential area with a house and a car parked in front of it. The house is surrounded by a forest, and there is a fire burning in the background, creating a dramatic scene. The car is parked close to the house, and there is a fire hydrant nearby.

In the scene, there are two people visible, one standing closer to the house and the other further away. The people appear to be observing the fire or possibly attending to the situation.",386,456
49,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a forest fire scene with a large tree on fire. The fire is spreading rapidly, and the smoke is filling the air. There are several other trees in the background, some of which are also on fire.

In the scene, there are two people visible. One person is located near the center of the image, while the other person is closer to the right side. Both individuals appear to be observing the fire.

There are two vehicles in the scene, one located near the center and the other towards th",386,500
50,"a house is burning in a residential neighborhood, with the fire spreading from a house on the left to a house on the right","The image depicts a large fire burning in the woods, with flames reaching high into the sky. The fire is spreading rapidly, engulfing the surrounding trees and vegetation. The fire appears to be close to a road, with a few cars parked nearby.

There are several people in the scene, with some standing closer to the fire and others further away. They seem to be observing the fire or possibly trying to extinguish it. The people are scattered throughout the image, with some standing closer to the le",386,500
52,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a firefighter standing in front of a burning building, holding a fire hose. The fire is spreading rapidly, engulfing the structure. The firefighter is wearing a fire suit and is positioned near the center of the scene.

In the background, there is a car parked on the left side of the image. The fire is visible in various parts of the building, with the most prominent fire located in the middle of the structure. The firefighter is focused on extinguishing the fire and ensuring t",386,500
53,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a forest fire with flames spreading across the landscape. The fire is burning in a wooded area, with trees and bushes being consumed by the flames. The fire is spreading rapidly, engulfing the surrounding vegetation.

There are several people in the scene, likely firefighters or first-responders, who are trying to control the fire. They are scattered throughout the image, with some standing closer to the fire and others further away.

In the background, there is a car parked, p",386,500
54,"The forest fires burning in the amazon rainforest, as shown in this image, are the result of the rapid deforestation of the rainforest by loggers and farmers in the region","The image depicts a scene of destruction and chaos, likely a result of a natural disaster or a fire. The area is filled with smoke, fire, and debris, creating a hazardous environment. There are several people scattered throughout the scene, some of them possibly injured or in distress.

The landscape is characterized by damaged structures, including collapsed buildings and roads. Vehicles, such as cars and trucks, are also present in the scene, adding to the sense of disarray. The overall atmosp",386,500
55,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a firefighting helicopter in action, spraying water to extinguish a forest fire. The helicopter is hovering above the burning forest, with its water cannon in full force. The fire appears to be spreading rapidly, with flames reaching upwards and smoke filling the air.

There are several people in the scene, likely firefighters or onlookers. They are scattered throughout the area, with some standing closer to the helicopter and others further away. The people are wearing various",386,500
56,A fire burns a forest path in a national park in australia,"The image depicts a forest fire scene with a road running through it. The road is surrounded by trees, and there are several cars parked along the road. The fire is spreading rapidly, with flames reaching up to the trees. The scene is quite dramatic, with the fire engulfing the forest and the smoke filling the air.

There are multiple people in the scene, some of them standing near the cars, while others are scattered throughout the area. They appear to be observing the fire or possibly trying t",386,500
57,this disaster image is of the bushfire in the australian state of new south wales,"The image depicts a forest fire with flames reaching up to the trees. The fire is burning the trees, creating a dramatic scene. There are several trees in the area, with some of them being closer to the fire, while others are further away. The fire appears to be spreading rapidly, engulfing the trees in its path. The overall atmosphere of the image is one of danger and urgency, as the fire continues to consume the forest.",386,425
59,"the fire was burning in the hills, the wind was blowing the smoke, and the electricity was in the air","The image depicts a scene of a forest fire, with flames and smoke filling the sky. The fire is spreading rapidly, engulfing the surrounding area. There are several power poles in the scene, with some of them being closer to the fire, while others are further away.

In the midst of the chaos, there are two people visible in the image. One person is located near the left side of the scene, while the other person is situated more towards the center. Both individuals appear to be facing the fire, po",386,500
6,a wildfire burns in the mountains near the town of,"The image depicts a man wearing a red hat and a backpack, walking through a fire-filled area. The fire is spreading, and the man appears to be trying to escape the flames. The scene is quite dramatic, with the man being the main focus.

There are no other people visible in the image. The man is wearing a red hat, and his backpack is located near his waist. The fire is spreading across the scene, with flames visible in various parts of the image. The overall atmosphere is intense and dangerous.",386,498
61,A fire destroyed an entire neighborhood in this city in california.,"The image depicts a scene of a fire, likely a forest fire, with smoke and flames filling the sky. The fire is spreading rapidly, engulfing a town and causing destruction. The town is surrounded by trees, and there are several cars and trucks parked nearby.

There are multiple people in the scene, some of them standing close to the fire, while others are further away. The people are wearing various clothing colors, and some of them are carrying backpacks.

The fire is spreading to nearby structur",386,500
62,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a forest fire with flames engulfing the trees. The fire is spreading rapidly, and the trees are burning with a bright orange color. The scene is filled with smoke, creating a dense and hazardous atmosphere.

There are several people in the image, with one person standing closer to the left side of the frame, another person in the middle, and a third person on the right side. They appear to be observing the fire or possibly trying to extinguish it.

The forest is filled with tre",386,500
64,"a bushfire burning on a ridge near a creek, in a forest, with a few trees in the foreground","The image depicts a scene of a forest fire, with a group of people standing in the foreground, watching the fire as it spreads through the trees. The fire is burning brightly, illuminating the area and creating a dramatic atmosphere. The people are scattered throughout the scene, with some standing closer to the fire and others further away.

The forest is filled with numerous trees, some of which are affected by the fire. The fire appears to be spreading rapidly, engulfing the trees and creatin",386,500
65,the fire front has been spreading in the middle of the road,"The image depicts a forest fire scene with a road running through it. The road is surrounded by trees, and there are several cars parked along the road. The fire is spreading rapidly, and the smoke is filling the air.

There are multiple people in the scene, some of them standing near the cars, while others are scattered throughout the area. The people are wearing various clothing colors, and some of them are carrying backpacks.

The fire is burning in different areas of the forest, and the smok",386,500
66,"The fire burnt across the hills and destroyed many homes, while it also burnt through the surrounding forest and destroyed trees","The image depicts a forest fire scene with a large group of trees on fire. The fire is spreading rapidly, engulfing the trees and creating a dense smoke. There are several people in the scene, some of them standing close to the fire, while others are further away.

In the foreground, there are two people standing close to the fire, with one person closer to the left side and the other person closer to the right side. In the midground, there are three more people, with one person standing in the",386,499
67,a firefighter in a field of fire,"The image depicts a firefighter walking through a forest filled with flames and smoke. The firefighter is wearing a yellow fire suit and is equipped with a hose to combat the fire. The fire is spreading rapidly, engulfing the surrounding trees and creating a chaotic scene.

In the image, there are several trees with varying heights and positions. Some trees are closer to the firefighter, while others are further away. The fire is visible in the background, with the flames and smoke spreading acr",386,500
68,a firefighting helicopter,"The image depicts a scene of a firefighting helicopter hovering above a field, where a truck is parked nearby. The truck is equipped with a ladder, and a person is standing next to it. The firefighting helicopter is actively engaged in the firefighting operation, and the truck is likely there to support the efforts. The scene captures the intensity of the firefighting operation and the role of the truck in assisting the first-responders.",386,441
69,the bushfire is burning in a dense forest near a house,"The image depicts a group of firefighters standing in a field, wearing yellow fire suits and helmets. They are facing a fire that is burning in the background, with smoke billowing upwards. The firefighters are positioned in various locations within the field, with some standing closer to the fire and others further away.

There are a total of five firefighters visible in the scene, with some standing closer to the foreground and others in the midground or background. The fire is located towards",386,500
7,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a scene of a forest fire, with a large group of trees on fire. The fire is spreading rapidly, engulfing the trees and creating a dense, red-orange haze. The fire appears to be burning in a wooded area, with the trees being the main focus of the scene.

There are several people in the image, likely firefighters or first-responders, working to combat the fire. They are scattered throughout the scene, with some standing closer to the trees and others further away. The people are w",386,500
70,"The bushfire in the south coast hinterland of australia, which began on tuesday, july 23, 2002, has destroyed more than 100 homes and killed at least two people, destroyed more than 200 homes, and damaged many others in the area","The image depicts a group of firefighters working together to combat a large fire. There are at least five firefighters visible in the scene, with some standing closer to the fire and others further away. They are wearing yellow firefighting uniforms, which makes them easily identifiable.

The fire is burning in the background, with smoke billowing upwards. The firefighters are using hoses to try and extinguish the flames. The fire appears to be quite large, covering a significant portion of the",386,500
72,"bushfires in sydney, nsw","The image depicts a firefighter wearing a yellow jacket, standing in front of a forest fire. The fire is spreading rapidly, engulfing the surrounding area. The firefighter appears to be observing the situation, possibly assessing the best course of action to combat the fire.

In the background, there are several trees, some of which are affected by the fire. The firefighter is positioned near the center of the image, with the fire spreading outwards from the left side. The overall scene is a dra",386,500
73,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a forest fire scene with a large tree on fire. The fire is spreading rapidly, and the smoke is filling the air. There are several other trees in the background, some of which are also on fire.

In the scene, there are two people visible. One person is located near the center of the image, while the other person is closer to the right side. Both individuals appear to be observing the fire.

There are two vehicles in the scene, one located near the center and the other towards th",386,500
74,"A bushfire is burning in a residential street in the suburb of manly, in the state of new south wales, australia","The image depicts a scene of a fire, likely a forest fire, with smoke and flames billowing upwards. The fire is located near a road, and there are trees in the vicinity. A fire hydrant can be seen close to the fire, possibly providing water for firefighting efforts.

There are several people in the scene, with some standing closer to the fire and others further away. They appear to be observing the fire or possibly involved in firefighting efforts.

The overall scene is quite chaotic, with the f",386,500
75,A wildfire burning near a fire tower and a fire truck in the foreground,"The image depicts a firefighter in a yellow jacket, standing in a field and spraying water on a fire. The fire is burning in the background, and the firefighter is using a hose to extinguish the flames. The fire appears to be quite large, covering a significant portion of the field.

There are no other people visible in the image. The firefighter is the main focus, and the fire is the most prominent hazard. The field is the main structural element, with no other buildings, vehicles, or debris vi",386,500
76,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a man standing in a field, surrounded by a large fire. The fire is spreading across the field, creating a hazardous situation. The man appears to be observing the fire, possibly assessing the situation or waiting for assistance.

In the background, there are two other people, one closer to the left side of the image and the other further to the right. Both individuals seem to be observing the fire as well.

The field is filled with smoke, which is spreading across the area, fur",386,500
77,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a beach scene with a large fire burning on a mountain in the background. The fire is spreading rapidly, creating a dramatic and dangerous situation. The beach is illuminated by the fire's glow, casting a warm light over the area.

There are several people in the scene, some of them standing closer to the water, while others are further back on the beach. They appear to be observing the fire or possibly trying to escape the area.

The beach is lined with various vehicles, includ",386,500
78,"A bushfire that engulfed the town of blacktown, sydney, australia, on march 15, 2019, during the australian summer of 2019","The image depicts a forest fire with flames reaching up to the sky. The fire is burning a large area of trees, creating a dramatic scene. There are several trees in the foreground, with some of them being closer to the viewer and others further away.

In the background, there is a fence and a building, which might be affected by the fire. A fire hydrant is also visible in the scene, located near the center of the image. The overall atmosphere of the image is one of danger and urgency, as the fir",386,500
8,"A bushfire burns on the outskirts of the town of gospersby in nsw on the night of december 13, 2009","The image depicts a forest fire scene with a street sign in the foreground. The fire is spreading rapidly, engulfing the surrounding trees and creating a hazardous environment. There are several people in the scene, some of them are closer to the fire, while others are further away.

The fire is visible in various parts of the image, with some trees being more affected than others. The street sign is located near the center of the image, and the people are scattered throughout the scene, with so",386,500
80,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a large fire burning in the distance, with flames reaching high into the sky. The fire is located near a forest, and it appears to be spreading rapidly. The scene is quite dramatic, with the fire's intensity drawing the viewer's attention.

In the foreground, there is a house with a fence in front of it. The house is situated near the fire, and it seems to be the main focus of the image. The fence is white, and it provides a sense of scale to the scene.

There are no people vis",386,500
82,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a forest fire with flames and smoke filling the scene. The fire is burning in the middle of the forest, and the smoke is rising high into the sky. The fire is spreading rapidly, and the flames are reaching upwards, creating a dramatic scene.

There are no people visible in the image, but the fire is likely causing distress to the surrounding environment and wildlife. The fire is consuming the forest, and the smoke is filling the air, creating a hazardous situation.",386,487
84,a fire truck driving on a road,"The image depicts a scene of a fire, likely a forest fire, with flames and smoke filling the sky. A person is riding a motorcycle down a road, passing by the burning forest. The motorcycle is located in the middle of the scene, with the person riding it positioned towards the right side.

There are no visible hazards, people, or structural elements in the image. The spatial layout consists of the road with the motorcycle rider, and the burning forest in the background. The lighting conditions ap",386,500
85,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a group of firefighters and first responders working together to combat a large wildfire. There are at least six people visible in the scene, with some standing closer to the fire and others further away. They are wearing yellow vests, which makes them easily identifiable.

The fire is burning in the background, with flames reaching high into the sky. The firefighters are equipped with backpacks, which can be seen on their backs. The fire appears to be spreading rapidly, and th",386,500
86,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a large fire burning in a forest, with flames reaching high into the sky. The fire is spreading rapidly, engulfing the surrounding trees and vegetation. The scene is quite dramatic, with the fire's intensity creating a sense of urgency.

There are several people in the image, likely firefighters or first responders, working to combat the fire. They are scattered throughout the scene, with some closer to the fire and others further away. The people are wearing various types of c",386,500
87,A fire in the forest,"The image depicts a firefighter wearing a yellow jacket, standing in a forest filled with smoke and flames. The firefighter is actively spraying water to extinguish the fire. There are multiple trees in the background, some of which are on fire. The firefighter is positioned in the center of the scene, with the water hose in his hand. The overall scene is a combination of fire, smoke, and the firefighter's efforts to combat the fire.",386,437
88,a wildfire burning on a hillside,"The image depicts a forest fire scene with a large, tall tree on fire. The fire is spreading rapidly, engulfing the tree and surrounding area. The fire is located in the middle of the scene, with smoke billowing upwards.

There are several birds flying around the fire, with some close to the tree and others further away. The birds are scattered throughout the scene, adding to the dynamic nature of the image.",386,411
9,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a fire scene with a fire truck parked nearby. The fire is spreading rapidly, engulfing a large area. There are multiple firefighters present, with some standing closer to the fire and others further away. The firefighters are wearing various uniforms, with some appearing to be in a more formal attire.

In the scene, there are also a few vehicles, including a car and a truck, parked nearby. The fire is creating a significant amount of smoke, which is filling the air and creating",386,500
92,a wildfire burning in the hills of california,"The image depicts a scene of a car driving down a road during a fire emergency. The car is located in the foreground, and there are two other cars visible in the scene, one behind the car and another further back. The road is surrounded by trees, and there is a fire visible in the background, creating a dramatic atmosphere.

There are several people in the scene, with one person standing close to the car in the foreground, another person near the middle of the scene, and a third person further b",386,500
93,the bushfire that took place in the town of cooma in march 2008,"The image depicts a firefighter wearing a yellow fire suit, standing in front of a large fire. The fire is burning brightly, and the firefighter appears to be observing the scene. The fire is located in the center of the image, with the firefighter standing to the right of the fire.

There are no other people visible in the image. The firefighter is the only person present. The fire is the main hazard in the scene, with smoke billowing upwards from the fire. The firefighter is equipped with a fi",386,500
95,A large bushfire is burning in a forest area in the australian state of new south wales,"The image depicts a forest fire scene with a large tree on fire. The fire is spreading rapidly, and the smoke is billowing upwards. The forest is filled with trees, and the sky is visible in the background.

There are several people in the scene, with one person standing close to the left side of the image, another person in the middle, and a third person on the right side. They appear to be observing the fire or possibly trying to extinguish it.

The forest is filled with trees, and some of the",386,500
96,"A burning bush with a tree in the foreground, orange flames and smoke, a blue sky, and a road in the background","The image depicts a forest fire with flames and smoke filling the scene. The fire is burning in the middle of the forest, and the smoke is rising high into the sky. The fire is spreading rapidly, and the flames are reaching upwards, creating a dramatic scene.

There are no people visible in the image, but the fire is likely causing distress to the surrounding environment and wildlife. The fire is consuming the forest, and the smoke is filling the air, creating a hazardous situation.",386,487
97,"a fire that burned through the hills of san diego county, california","The image depicts a scene of a fire, with flames and smoke filling the sky. The fire is located near a road, and there is a person standing close to the fire, possibly observing the situation. The road is surrounded by trees, and there is a car parked on the side of the road.

In the scene, there are two traffic lights, one near the center and the other towards the right side. A stop sign is also visible, positioned closer to the left side of the image. The person standing near the fire is weari",386,500
99,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a firefighter walking through a forest filled with smoke and flames. The firefighter is wearing a yellow helmet and is equipped with a backpack. The forest is filled with trees, and the fire is spreading rapidly. The firefighter is walking towards the fire, likely to extinguish it. The scene is quite dramatic, with the fire and smoke filling the entire forest.",386,380
w_1,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a man riding a bicycle through a flooded street. He is wearing a black jacket and appears to be enjoying the ride despite the challenging conditions. The street is filled with water, and there are several parked cars along the side.

In addition to the man on the bicycle, there are two other people visible in the scene. One person is standing near the center of the image, while the other person is located closer to the right side of the image.

There are also two cars in the sc",386,500
w_10,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a man standing in a flooded street, wearing a black shirt and black pants. He is holding a cell phone in his hand. The street is surrounded by trees, and there is a stop sign visible in the background. The man appears to be walking through the flooded area, possibly assessing the situation or communicating with others.",386,338
w_100,A waterway filled with boats,"The image depicts a scene of disaster relief efforts in a flooded area. There are several boats floating in the water, with one boat located in the foreground and another boat further back. A truck is also present in the scene, parked near the water's edge.

There are multiple people in the image, some of whom are standing near the water, while others are scattered throughout the scene. Some of the people are wearing yellow vests, which could indicate their role as first responders or emergency",386,499
w_11,The storm surge and flooding from hurricane Irma in the northern tip of florida,"The image depicts a large, old building situated in a body of water, possibly a river or a lake. The building appears to be in a state of disrepair, with a large portion of it submerged in water. The structure is surrounded by trees, adding to the overall atmosphere of the scene.

There are several people in the image, with one person standing closer to the left side of the building, another person near the center, and a third person on the right side. The people seem to be observing the buildin",386,500
w_12,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a flooded street with numerous people walking through the water. There are at least 14 people visible in the scene, with some of them carrying backpacks. The street is filled with various vehicles, including cars, trucks, and a motorcycle. There are at least 11 cars, 3 trucks, and 1 motorcycle.

The street is also filled with traffic lights, with at least 11 traffic lights visible in the scene. The traffic lights are scattered throughout the street, with some of them being clos",386,500
w_13,"Tropical storm winds and rainfall caused extensive flooding in miami-dade county and the surrounding area, including the city of miami","The image depicts a city street during a storm, with a large tree in the foreground. The street is flooded with water, and there are palm trees lining the street. The scene is chaotic, with debris scattered throughout the area.

There are several people in the scene, with some standing near the flooded street and others further away. Some of the people are wearing backpacks, and one person is carrying a handbag.

The street is lined with various vehicles, including cars and a truck. The vehicles",386,500
w_14,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a flooded street with a bridge overpass. The bridge is covered in water, and the street below is also flooded. The scene is quite chaotic, with a large number of vehicles scattered throughout the area. Some of the vehicles are partially submerged in the water, while others are floating on the surface.

There are several people in the scene, some of whom are standing near the vehicles, while others are walking or standing in the flooded area. The people are wearing various cloth",386,500
w_15,"the cars in the flooded road are parked on both sides of the road and are partially submerged in water, the houses are mostly under water, people are standing on the road, the bridge is completely submerged and the buildings are partially submerged in water, the buildings are standing on the road, the bridge is completely submerged, the buildings are standing on the road, the bridge is partially submerged, the buildings are partially submerged in water, the buildings are standing on the road, th","The image depicts a flooded street with a yellow car driving through the water. The car is surrounded by several other vehicles, including a truck and a bus, all navigating through the flooded area. There are also multiple people in the scene, some of whom are standing near the vehicles, while others are walking through the flooded street.

The street is filled with various vehicles, including cars, trucks, and a bus, all trying to make their way through the flooded area. The people in the scene",386,500
w_16,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a small red building, possibly a shed or a house, situated on a flooded area. The building is surrounded by water, and it appears to be partially submerged. The water level is high enough to reach the door of the building.

There are two people in the scene, one closer to the left side of the image and the other near the center. Both individuals seem to be observing the situation or possibly trying to reach the building.

In the background, there is a boat visible, possibly use",386,500
w_17,"A river was swollen by rainwater and mudslides and ran through a residential area, killing one person","The image depicts a flooded street with a bus driving through it. The bus is located in the middle of the scene, and the floodwater is covering the street, reaching up to the bus's height. 

There are several people in the scene, with one person standing close to the bus, another person further back, and two more people on the right side of the image. They appear to be observing the flooded street or possibly waiting for the bus to pass.

The street is lined with buildings, and there is a fire h",386,500
w_18,we took a walk on the flooded street in front of our house,"The image depicts a flooded street with two people sitting in the water. One person is located closer to the left side of the image, while the other person is situated more towards the center. Both individuals have their feet visible, with one person's feet being closer to the left side of the image and the other person's feet being more towards the center.

The street is surrounded by a few trees, with one tree located near the top left corner of the image and another tree in the top right corn",386,500
w_19,a house in a flooded area,"The image depicts a flooded area with a large building surrounded by water. The building is located in the center of the scene, and the water level is high enough to reach the roof. The floodwater is covering the streets and buildings, making it difficult for people to navigate the area.

There are several people in the scene, with some standing near the building and others scattered throughout the flooded area. They appear to be trying to cope with the challenging conditions.

A boat can be see",386,500
w_2,a man stands on a dirt road with a red hat and a red umbrella,"The image depicts a man standing in a muddy area, possibly a flooded beach, wearing a red hat. He appears to be observing the scene or possibly waiting for assistance. The area is filled with debris, including a boat and a truck, which are both located in the middle of the scene. There are also several other people scattered throughout the area, some closer to the man and others further away. The overall scene suggests a disaster-stricken area that requires immediate attention and intervention.",386,499
w_20,This photo shows a car stuck in a flooded road in nigeria,"The image depicts a black car submerged in a flooded area, with the car's roof visible above the water. The car is surrounded by water, and it appears to be stuck in the flood. There are no people visible in the scene.

The surrounding environment includes a few other cars, with one car located to the left of the submerged car and another car further to the right. There is also a truck visible in the background, slightly to the right of the submerged car.",386,459
w_21,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a harbor with several boats, including a large white boat, scattered throughout the scene. Some of the boats are damaged, with one boat in particular appearing to have been wrecked. The harbor is surrounded by a stormy sky, adding to the dramatic atmosphere.

There are several people in the scene, with some standing near the boats and others scattered throughout the harbor. They appear to be assessing the damage and dealing with the aftermath of the storm.

The harbor is filled",386,500
w_22,Floodwaters from the river,"The image depicts a flooded street with a large body of water covering the road. There are several trees surrounding the area, with some of them appearing to be submerged in the water. A bench can be seen near the water, possibly for people to sit and observe the flooding.

In the scene, there are two people visible. One person is located closer to the left side of the image, while the other person is situated more towards the center. Both individuals seem to be observing the flooded street.

Th",386,500
w_23,"disaster scene with structural damage, emergency responders present, debris and hazards visible","The image depicts a flooded town with houses and buildings surrounded by water. The town is located near a river, which has overflowed and caused the flooding. The streets are filled with water, and the houses are partially submerged.

There are several people in the scene, some of them are standing near the water, while others are walking through the flooded streets. The people are wearing various clothing colors, and some of them are carrying backpacks.

The town features a mix of vehicles, in",386,500
w_24,a road in the middle of a flooded area with a bridge over it,"The image depicts a flooded highway with a bridge over a river. The highway is filled with water, and there are several cars driving on it. The bridge is located in the middle of the scene, and the highway extends from the left to the right side of the image.

There are numerous cars visible on the highway, with some closer to the bridge and others further away. The vehicles are of various sizes and are scattered throughout the scene. The overall atmosphere of the image is one of disaster and ch",386,500
w_25,an area of the community was flooded by the hurricane and the storm surge,"The image depicts a flooded neighborhood with several vehicles parked on the street. There are two cars, one closer to the left side of the image and the other further to the right. A truck is also visible on the right side of the image. 

In addition to the vehicles, there are two people in the scene. One person is located near the center of the image, while the other person is closer to the right side. 

The street is surrounded by houses, with one house visible on the left side of the image a",386,500
